[run] config=configs/default.yaml device=cuda:0
[run] model=resnet1d
[run] window_size=1
[run] normalize_mode=mean_rms
[run] aoa_cache_root=D:\Files\WiFi_Pose\WiFiPoseV3\data\aoa_cache
[run] labels_root=D:\Files\WiFi_Pose\WiFiPoseV3\data\dataset
[run] val_env=env3 test_env=env4
[run] logs_file=C:\Users\LuvRene\OneDrive\PythonProjects\Positioning\pose_estimationV2\logs\train\ablation_meanrms_interdiv_divsel_actionaux005_resnet1d_20260327-170111.log
[run] selection_mode=diversity_first lambda_var=0.000 lambda_batch_div=0.000 lambda_inter_div=0.250 lambda_intra_div=0.000
[train] epoch=2/8 step=35/100 loss=0.514611 grad_norm=0.384 action_cls=3.293964 action_acc=0.047
[train] epoch=2/8 step=36/100 loss=0.514970 grad_norm=0.351 action_cls=3.280770 action_acc=0.047
[train] epoch=2/8 step=37/100 loss=0.548990 grad_norm=0.299 action_cls=3.300862 action_acc=0.047
[train] epoch=2/8 step=38/100 loss=0.539456 grad_norm=0.542 action_cls=3.287770 action_acc=0.031
[train] epoch=2/8 step=39/100 loss=0.548158 grad_norm=0.294 action_cls=3.301889 action_acc=0.031
[train] epoch=2/8 step=40/100 loss=0.530613 grad_norm=0.474 action_cls=3.293507 action_acc=0.047
[train] epoch=2/8 step=41/100 loss=0.512195 grad_norm=0.433 action_cls=3.299735 action_acc=0.016
[train] epoch=2/8 step=42/100 loss=0.504247 grad_norm=0.573 action_cls=3.316346 action_acc=0.016
[train] epoch=2/8 step=43/100 loss=0.536943 grad_norm=0.687 action_cls=3.306912 action_acc=0.047
[train] epoch=2/8 step=44/100 loss=0.574682 grad_norm=0.352 action_cls=3.297453 action_acc=0.047
[train] epoch=2/8 step=45/100 loss=0.548078 grad_norm=0.416 action_cls=3.305546 action_acc=0.031
[train] epoch=2/8 step=46/100 loss=0.519432 grad_norm=0.453 action_cls=3.300945 action_acc=0.031
[train] epoch=2/8 step=47/100 loss=0.526124 grad_norm=0.315 action_cls=3.305193 action_acc=0.047
