[run] config=configs/default.yaml device=cuda:0
[run] model=resnet1d
[run] window_size=1
[run] normalize_mode=mean_rms
[run] aoa_cache_root=D:\Files\WiFi_Pose\WiFiPoseV3\data\aoa_cache
[run] labels_root=D:\Files\WiFi_Pose\WiFiPoseV3\data\dataset
[run] val_env=env3 test_env=env4
[run] logs_file=C:\Users\LuvRene\OneDrive\PythonProjects\Positioning\pose_estimationV2\logs\train\ablation_meanrms_interdiv_divsel_actionaux_resnet1d_20260327-164217.log
[run] selection_mode=diversity_first lambda_var=0.000 lambda_batch_div=0.000 lambda_inter_div=0.250 lambda_intra_div=0.000
[train] epoch=2/8 step=39/100 loss=1.044652 grad_norm=0.306 action_cls=3.302409 action_acc=0.016
[train] epoch=2/8 step=40/100 loss=1.027237 grad_norm=0.469 action_cls=3.295649 action_acc=0.062
[train] epoch=2/8 step=41/100 loss=1.007394 grad_norm=0.429 action_cls=3.303326 action_acc=0.031
[train] epoch=2/8 step=42/100 loss=1.001119 grad_norm=0.559 action_cls=3.319573 action_acc=0.016
[train] epoch=2/8 step=43/100 loss=1.032648 grad_norm=0.671 action_cls=3.297430 action_acc=0.016
[train] epoch=2/8 step=44/100 loss=1.068458 grad_norm=0.346 action_cls=3.292378 action_acc=0.031
[train] epoch=2/8 step=45/100 loss=1.041029 grad_norm=0.423 action_cls=3.303555 action_acc=0.047
[train] epoch=2/8 step=46/100 loss=1.014964 grad_norm=0.411 action_cls=3.306063 action_acc=0.031
[train] epoch=2/8 step=47/100 loss=1.020909 grad_norm=0.324 action_cls=3.292393 action_acc=0.078
[train] epoch=2/8 step=48/100 loss=1.020850 grad_norm=0.416 action_cls=3.284782 action_acc=0.031
[train] epoch=2/8 step=49/100 loss=1.006047 grad_norm=0.369 action_cls=3.281868 action_acc=0.094
[train] epoch=2/8 step=50/100 loss=1.033658 grad_norm=0.371 action_cls=3.298697 action_acc=0.000
[train] epoch=2/8 step=51/100 loss=1.016475 grad_norm=0.390 action_cls=3.288657 action_acc=0.062
[train] epoch=2/8 step=52/100 loss=1.029611 grad_norm=0.388 action_cls=3.287376 action_acc=0.031
